inc_number,customer,region,product,quantity,price,total_amount,order_date,status,department,priority,severity
INC001,Sophia,South,Mobile,2,831,1662,2025-01-02,Resolved,Sales,P5,Low
INC002,David,West,Tablet,2,987,1974,2025-01-03,Resolved,Sales,P1,High
INC003,Alice,South,Mobile,6,930,5580,2025-01-04,Resolved,Finance,P3,Medium
INC004,Mia,North,Mobile,5,767,3835,2025-01-05,Resolved,Finance,P3,Medium
INC005,Noah,North,Laptop,4,518,2072,2025-01-06,In Progress,Logistics,P5,Low
INC006,Sophia,West,Mobile,6,911,5466,2025-01-07,In Progress,Finance,P3,Medium
INC007,Ava,South,Tablet,10,436,4360,2025-01-08,In Progress,Sales,P3,Medium
INC008,Liam,North,Laptop,2,1333,2666,2025-01-09,Pending,Logistics,P3,Medium
INC009,Chris,West,Laptop,10,1127,11270,2025-01-10,New,Finance,P4,Medium
INC010,Alice,East,Laptop,5,330,1650,2025-01-11,Resolved,Support,P3,Medium
INC011,Olivia,West,Laptop,5,747,3735,2025-01-12,New,Sales,P5,Low
INC012,Alice,East,Tablet,6,1022,6132,2025-01-13,New,Finance,P2,High
INC013,Alice,East,Tablet,10,407,4070,2025-01-14,New,Logistics,P5,Low
INC014,Sophia,South,Laptop,3,902,2706,2025-01-15,New,Support,P5,Low
INC015,Chris,East,Tablet,1,941,941,2025-01-16,New,Logistics,P5,Low
INC016,Ava,West,Tablet,4,552,2208,2025-01-17,In Progress,Sales,P3,Medium
INC017,Ava,West,Laptop,4,1158,4632,2025-01-18,New,Sales,P5,Low
INC018,Chris,West,Tablet,4,994,3976,2025-01-19,Pending,Support,P3,Medium
INC019,Sophia,West,Tablet,6,643,3858,2025-01-20,In Progress,Sales,P2,High
INC020,John,South,Laptop,89,1201,106889,2025-01-21,In Progress,Logistics,P5,Low
INC021,Alice,South,Laptop,6,1444,8664,2025-01-22,In Progress,Sales,P4,Medium
INC022,Bob,North,Tablet,6,238,1428,2025-01-23,In Progress,Logistics,P3,Medium
INC023,Emma,South,Tablet,1,544,544,2025-01-24,New,Logistics,P1,High
INC024,Noah,North,Laptop,1,232,232,2025-01-25,New,Sales,P1,High
INC025,Chris,South,Mobile,7,1139,7973,2025-01-26,In Progress,Support,P2,High
INC026,David,North,Tablet,4,247,988,2025-01-27,Pending,Finance,P1,High
INC027,Emma,East,Tablet,3,1204,3612,2025-01-28,Pending,Support,P5,Low
INC028,Mia,North,Mobile,7,1262,8834,2025-01-29,New,Logistics,P2,High
INC029,Sophia,North,Laptop,5,1102,5510,2025-01-30,Pending,Logistics,P5,Low
INC030,Ethan,East,Laptop,10,261,2610,2025-01-31,Resolved,Sales,P3,Medium
INC031,Mia,East,Tablet,2,918,1836,2025-02-01,New,Finance,P5,Low
INC032,Liam,South,Mobile,3,1364,4092,2025-02-02,In Progress,Support,P4,Medium
INC033,Mia,North,Mobile,6,839,5034,2025-02-03,Pending,Finance,P1,High
INC034,Mia,North,Mobile,5,1190,5950,2025-02-04,In Progress,Sales,P3,Medium
INC035,John,South,Mobile,5,881,4405,2025-02-05,Resolved,Sales,P3,Medium
INC036,Ethan,South,Tablet,7,1010,7070,2025-02-06,Pending,Support,P2,High
INC037,David,South,Laptop,10,284,2840,2025-02-07,Resolved,Finance,P5,Low
INC038,John,South,Tablet,1,1026,1026,2025-02-08,New,Support,P2,High
INC039,Emma,West,Laptop,6,1439,8634,2025-02-09,Resolved,Finance,P3,Medium
INC040,Olivia,South,Laptop,79,1214,95906,2025-02-10,In Progress,Finance,P4,Medium
INC041,David,South,Tablet,4,923,3692,2025-02-11,New,Support,P5,Low
INC042,David,East,Mobile,3,494,1482,2025-02-12,Resolved,Support,P5,Low
INC043,David,South,Tablet,5,1317,6585,2025-02-13,In Progress,Finance,P4,Medium
INC044,Bob,East,Mobile,2,1295,2590,2025-02-14,Pending,Logistics,P1,High
INC045,Bob,North,Mobile,9,825,7425,2025-02-15,New,Finance,P3,Medium
INC046,Ava,North,Laptop,10,682,6820,2025-02-16,New,Support,P4,Medium
INC047,Noah,West,Mobile,10,1450,14500,2025-02-17,Pending,Support,P4,Medium
INC048,Chris,North,Mobile,10,578,5780,2025-02-18,Resolved,Sales,P4,Medium
INC049,Ethan,East,Tablet,9,1269,11421,2025-02-19,Pending,Sales,P5,Low
INC050,Sophia,North,Laptop,3,1085,3255,2025-02-20,In Progress,Support,P1,High
INC051,Ethan,East,Laptop,5,354,1770,2025-02-21,Resolved,Logistics,P3,Medium
INC052,Chris,East,Tablet,5,479,2395,2025-02-22,In Progress,Logistics,P4,Medium
INC053,David,South,Mobile,4,913,3652,2025-02-23,Pending,Support,P5,Low
INC054,Noah,West,Laptop,8,225,1800,2025-02-24,Resolved,Sales,P1,High
INC055,John,East,Tablet,9,1211,10899,2025-02-25,In Progress,Support,P3,Medium
INC056,Mia,North,Tablet,10,1172,11720,2025-02-26,Resolved,Logistics,P4,Medium
INC057,David,South,Tablet,10,359,3590,2025-02-27,Resolved,Finance,P1,High
INC058,Liam,South,Tablet,5,1238,6190,2025-02-28,Resolved,Sales,P5,Low
INC059,John,North,Tablet,6,722,4332,2025-03-01,Resolved,Finance,P4,Medium
INC060,Bob,South,Laptop,56,1493,83608,2025-03-02,New,Support,P4,Medium
INC061,Chris,East,Laptop,3,1271,3813,2025-03-03,New,Support,P4,Medium
INC062,Emma,West,Mobile,6,538,3228,2025-03-04,Resolved,Support,P2,High
INC063,Liam,South,Tablet,9,1146,10314,2025-03-05,In Progress,Sales,P4,Medium
INC064,Bob,South,Mobile,6,1324,7944,2025-03-06,Pending,Sales,P5,Low
INC065,Mia,West,Laptop,5,650,3250,2025-03-07,New,Logistics,P2,High
INC066,Sophia,South,Mobile,8,251,2008,2025-03-08,In Progress,Finance,P2,High
INC067,Ethan,North,Mobile,8,275,2200,2025-03-09,Pending,Finance,P2,High
INC068,Ava,West,Laptop,10,816,8160,2025-03-10,New,Logistics,P1,High
INC069,Bob,South,Tablet,4,433,1732,2025-03-11,Pending,Logistics,P2,High
INC070,Chris,West,Mobile,2,1132,2264,2025-03-12,In Progress,Logistics,P3,Medium
INC071,Emma,South,Tablet,4,1140,4560,2025-03-13,Pending,Logistics,P2,High
INC072,John,South,Laptop,2,732,1464,2025-03-14,New,Sales,P3,Medium
INC073,Olivia,West,Laptop,5,288,1440,2025-03-15,In Progress,Sales,P2,High
INC074,Sophia,East,Laptop,10,1297,12970,2025-03-16,Resolved,Sales,P2,High
INC075,Bob,South,Tablet,3,1063,3189,2025-03-17,Resolved,Finance,P3,Medium
